env,lag,acf_p50,acf_p25,acf_p75,pacf_p50,bo_cap_pct
E2,31,0.071988,-0.001688,0.410032,-0.001067,0.625541
E2,32,0.087218,0.00204,0.419455,0.000503,0.625816
E2,33,0.074443,0.000254,0.398526,-0.003158,0.626092
E2,34,0.085724,-0.000493,0.431684,0.003638,0.626368
E2,35,0.065283,-0.001014,0.391795,0.004471,0.626644
E2,36,0.140929,0.022912,0.462799,0.022205,0.62692
E2,37,0.068908,0.000586,0.394605,-0.00699,0.627196
E2,38,0.078134,0.004311,0.406393,0.000287,0.627473
E2,39,0.070335,-0.000155,0.358848,-0.006665,0.62775
E2,40,0.0862,0.003896,0.374782,-0.004152,0.628028
E2,41,0.066281,-0.000265,0.351741,-0.001351,0.628305
E2,42,0.100063,0.002168,0.379302,0.003074,0.628583
E2,43,0.071794,-0.001022,0.339389,-0.001881,0.628861
E2,44,0.094668,0.003823,0.354866,0.003596,0.629139
E2,45,0.082903,-0.00091,0.309349,-6.2e-05,0.629418
E2,46,0.097949,0.000747,0.342799,-0.0005,0.629696
E2,47,0.093721,0.00023,0.321525,-0.000353,0.629975
E2,48,0.195107,0.032504,0.385214,0.018968,0.630255
E2,49,0.091267,0.001718,0.333718,,0.630534
E2,50,0.091492,-0.00022,0.33451,,0.630814
E2,51,0.080593,-0.004493,0.320652,,0.631094
E2,52,0.081086,-0.000963,0.330259,,0.631374
E2,53,0.059669,-0.006336,0.314712,,0.631655
E2,54,0.090863,-0.001403,0.316984,,0.631935
E2,55,0.067004,-0.001672,0.298826,,0.632216
E2,56,0.073555,-0.002234,0.282157,,0.632497
E2,57,0.057893,-0.008358,0.260831,,0.632779
E2,58,0.060249,-0.005095,0.27758,,0.633061
E2,59,0.053697,-0.0056,0.254329,,0.633343
E2,60,0.111291,0.010131,0.358378,,0.633625
E2,61,0.056681,-0.003394,0.257842,,0.633907
E2,62,0.056418,-0.003875,0.255461,,0.63419
E2,63,0.037522,-0.009966,0.243176,,0.634473
E2,64,0.043223,-0.004418,0.259002,,0.634756
E2,65,0.034888,-0.012082,0.23473,,0.63504
E2,66,0.036247,-0.006991,0.259982,,0.635324
E2,67,0.03435,-0.015151,0.238743,,0.635608
E2,68,0.044072,-0.010088,0.260763,,0.635892
E2,69,0.027851,-0.014589,0.214139,,0.636176
E2,70,0.029214,-0.010175,0.254152,,0.636461
E2,71,0.028212,-0.010806,0.225361,,0.636746
E2,72,0.082835,0.00547,0.349159,,0.637031
E2,73,0.03473,-0.007053,0.22797,,0.637317
E2,74,0.02692,-0.015416,0.23201,,0.637603
E2,75,0.027515,-0.011633,0.219957,,0.637889
E2,76,0.029848,-0.009519,0.243472,,0.638175
E2,77,0.021537,-0.015576,0.210412,,0.638462
E2,78,0.022809,-0.013387,0.237057,,0.638749
E2,79,0.023753,-0.014799,0.203088,,0.639036
E2,80,0.028912,-0.011735,0.226753,,0.639323
E2,81,0.021241,-0.016206,0.193997,,0.639611
E2,82,0.024661,-0.015179,0.213809,,0.639898
E2,83,0.01965,-0.015453,0.206757,,0.640187
E2,84,0.073966,-0.001829,0.312401,,0.640475
E2,85,0.024398,-0.012137,0.202175,,0.640764
E2,86,0.031741,-0.011639,0.224701,,0.641052
E2,87,0.02815,-0.01523,0.171377,,0.641342
E2,88,0.035609,-0.010305,0.212129,,0.641631
E2,89,0.022678,-0.016404,0.192029,,0.641921
E2,90,0.024116,-0.011867,0.186633,,0.642211
E2,91,0.027494,-0.016104,0.182799,,0.642501
E2,92,0.028286,-0.010536,0.194091,,0.642791
E2,93,0.021584,-0.015022,0.194519,,0.643082
E2,94,0.025863,-0.014091,0.213555,,0.643373
E2,95,0.029643,-0.014071,0.205144,,0.643664
E2,96,0.080317,0.000989,0.294588,,0.643956
E2,97,0.029559,-0.012603,0.205837,,0.644248
E2,98,0.027837,-0.014763,0.209612,,0.64454
E2,99,0.024755,-0.018407,0.207757,,0.644832
E2,100,0.029808,-0.013998,0.218369,,0.645124
E2,101,0.016037,-0.017964,0.209596,,0.645417
E2,102,0.026444,-0.012088,0.23164,,0.64571
E2,103,0.018419,-0.020427,0.220695,,0.646004
