nguon,dich,mode,lich,h,model,mae_transfer,mae_trong_moi_truong,chi_phi
E3,E1,N1,khong,1,svr,0.506345237009188,0.3781031902858683,1.3391720832251142
E3,E2,N1,khong,1,svr,0.4488451811792648,0.3642830456218155,1.2321330530579742
E3,E1,N1,khong,1,xgb,5.870440055307587,0.3968713356350657,14.79179655520806
E3,E2,N1,khong,1,xgb,4.677048471192398,0.4105843619443219,11.391199725786532
E3,E1,N1,khong,6,rf,1.1413846329520914,0.5560619104796859,2.0526215003064636
E3,E2,N1,khong,6,rf,1.494703387812986,0.5208661353704407,2.8696497743128395
E3,E1,N1,khong,6,svr,0.5715427728499941,0.3960115456093419,1.4432477517052258
E3,E2,N1,khong,6,svr,0.5399663114518811,0.3733452642224112,1.446292114020789
E3,E1,N1,khong,6,xgb,13.323329048564316,0.587649871308433,22.672223204778774
E3,E2,N1,khong,6,xgb,10.060161836522798,0.5464341055229878,18.41056723004926
E3,E1,N1,khong,12,rf,3.469951622243733,0.5938777786502205,5.842871626095055
E3,E2,N1,khong,12,rf,3.143915630662552,0.5904490725716234,5.324617781123172
E3,E1,N1,khong,12,svr,0.4555085504225327,0.4103335782668061,1.1100932864099
E3,E2,N1,khong,12,svr,0.4423531105968239,0.3949873973233344,1.1199170241746124
E3,E1,N1,khong,12,xgb,24.389363187183413,0.6390367810168669,38.165820672127595
E3,E2,N1,khong,12,xgb,17.972868069084733,0.7063360412835058,25.44520882217147
E3,E1,N2,khong,1,rf,0.4468309141473635,0.384985425513396,1.1606437141133166
E3,E2,N2,khong,1,rf,0.437900991006768,0.3911268968668533,1.119588027605878
E3,E1,N2,khong,1,svr,0.4257646120927818,0.3781031902858683,1.1260540059735509
E3,E2,N2,khong,1,svr,0.4137163582551859,0.3642830456218155,1.1357002836873449
E3,E1,N2,khong,1,xgb,0.461661976992774,0.3968713356350657,1.1632535170473615
E3,E2,N2,khong,1,xgb,0.4530464597412939,0.4105843619443219,1.1034186923142733
E3,E1,N2,khong,6,rf,0.4917536301132317,0.5560619104796859,0.8843505027866794
E3,E2,N2,khong,6,rf,0.5033469341192279,0.5208661353704407,0.9663652519111209
E3,E1,N2,khong,6,svr,0.5501588621404966,0.3960115456093419,1.3892495515350913
E3,E2,N2,khong,6,svr,0.5336258127589597,0.3733452642224112,1.4293091781152616
E3,E1,N2,khong,6,xgb,0.5091625289334201,0.587649871308433,0.8664385951446618
E3,E2,N2,khong,6,xgb,0.510731994779118,0.5464341055229878,0.9346634655798076
E3,E1,N2,khong,12,rf,0.4751249840244472,0.5938777786502205,0.8000383262433602
E3,E2,N2,khong,12,rf,0.4793663897034387,0.5904490725716234,0.8118674615164037
E3,E1,N2,khong,12,svr,0.5085344529903839,0.4103335782668061,1.2393196168306895
E3,E2,N2,khong,12,svr,0.5313808524129191,0.3949873973233344,1.3453109036234232
E3,E1,N2,khong,12,xgb,0.5177646158539009,0.6390367810168669,0.8102266273781742
E3,E2,N2,khong,12,xgb,0.5158645696683232,0.7063360412835058,0.7303387332903601
E1,E2,N0,co,1,lr,0.5159256357401791,0.5107474132441241,1.0101385192793526
E1,E3,N0,co,1,lr,4.3385376782510185,4.0845195131487575,1.0621904643335731
E1,E2,N0,co,1,rf,0.423630432977611,0.3911268968668533,1.0831022779847903
